SLAVE_ID,GROUP_ID,FLOW_VALUE,DIGITAL_INPUT,DATE,TIME
2-,3G,0000.00,0,07/11/2020,00:00:04
4-,3G,0000.00,0,07/11/2020,00:00:08
3-,3G,0003.29,0,07/11/2020,00:00:10
2-,3G,0000.00,0,07/11/2020,00:00:13
4-,3G,0000.00,0,07/11/2020,00:00:17
3-,3G,0000.00,0,07/11/2020,00:00:19
2-,3G,0003.33,0,07/11/2020,00:00:22
4-,3G,0001.05,0,07/11/2020,00:00:26
3-,3G,0000.00,0,07/11/2020,00:00:28
2-,3G,0003.29,0,07/11/2020,00:00:31
4-,3G,0003.35,0,07/11/2020,00:00:35
3-,3G,0001.80,0,07/11/2020,00:00:37
2-,3G,0000.00,0,07/11/2020,00:00:40
4-,3G,0000.00,0,07/11/2020,00:00:44
3-,3G,0003.33,0,07/11/2020,00:00:46
2-,3G,0000.00,0,07/11/2020,00:00:49
4-,3G,0000.00,0,07/11/2020,00:00:53
3-,3G,0000.00,0,07/11/2020,00:00:55
2-,3G,0003.29,0,07/11/2020,00:00:58
4-,3G,0001.03,0,07/11/2020,00:01:02
3-,3G,0000.00,0,07/11/2020,00:01:04
2-,3G,0003.33,0,07/11/2020,00:01:07
4-,3G,0003.37,0,07/11/2020,00:01:11
3-,3G,0001.95,0,07/11/2020,00:01:13
2-,3G,0000.00,0,07/11/2020,00:01:16
4-,3G,0000.00,0,07/11/2020,00:01:20
3-,3G,0003.29,0,07/11/2020,00:01:22
2-,3G,0000.00,0,07/11/2020,00:01:25
4-,3G,0000.00,0,07/11/2020,00:01:29
3-,3G,0000.00,0,07/11/2020,00:01:31
2-,3G,0003.26,0,07/11/2020,00:01:34
4-,3G,0001.05,0,07/11/2020,00:01:38
3-,3G,0000.00,0,07/11/2020,00:01:40
2-,3G,0003.31,0,07/11/2020,00:01:43
4-,3G,0003.29,0,07/11/2020,00:01:47
3-,3G,0002.08,0,07/11/2020,00:01:49
2-,3G,0000.00,0,07/11/2020,00:01:52
4-,3G,0000.00,0,07/11/2020,00:01:56
3-,3G,0003.29,0,07/11/2020,00:01:58
2-,3G,0000.00,0,07/11/2020,00:02:01
4-,3G,0000.00,0,07/11/2020,00:02:05
3-,3G,0000.00,0,07/11/2020,00:02:07
2-,3G,0003.31,0,07/11/2020,00:02:10
4-,3G,0001.03,0,07/11/2020,00:02:14
3-,3G,0000.00,0,07/11/2020,00:02:16
2-,3G,0003.35,0,07/11/2020,00:02:19
4-,3G,0003.33,0,07/11/2020,00:02:23
3-,3G,0002.19,0,07/11/2020,00:02:25
2-,3G,0000.00,0,07/11/2020,00:02:28
4-,3G,0000.00,0,07/11/2020,00:02:32
3-,3G,0003.29,0,07/11/2020,00:02:34
2-,3G,0000.00,0,07/11/2020,00:02:37
4-,3G,0000.00,0,07/11/2020,00:02:41
3-,3G,0000.00,0,07/11/2020,00:02:43
2-,3G,0003.29,0,07/11/2020,00:02:46
4-,3G,0001.03,0,07/11/2020,00:02:50
3-,3G,0000.00,0,07/11/2020,00:02:52
2-,3G,0003.33,0,07/11/2020,00:02:55
4-,3G,0003.37,0,07/11/2020,00:02:59
3-,3G,0002.27,0,07/11/2020,00:03:01
2-,3G,0000.00,0,07/11/2020,00:03:04
4-,3G,0000.00,0,07/11/2020,00:03:08
3-,3G,0003.29,0,07/11/2020,00:03:10
2-,3G,0000.00,0,07/11/2020,00:03:13
4-,3G,0000.00,0,07/11/2020,00:03:17
3-,3G,0000.00,0,07/11/2020,00:03:19
2-,3G,0003.31,0,07/11/2020,00:03:22
4-,3G,0001.01,0,07/11/2020,00:03:26
3-,3G,0000.00,0,07/11/2020,00:03:28
2-,3G,0003.33,0,07/11/2020,00:03:31
4-,3G,0003.37,0,07/11/2020,00:03:35
3-,3G,0002.36,0,07/11/2020,00:03:37
2-,3G,0000.00,0,07/11/2020,00:03:40
4-,3G,0000.00,0,07/11/2020,00:03:44
3-,3G,0003.29,0,07/11/2020,00:03:46
2-,3G,0000.00,0,07/11/2020,00:03:49
4-,3G,0000.00,0,07/11/2020,00:03:53
3-,3G,0000.00,0,07/11/2020,00:03:55
2-,3G,0003.29,0,07/11/2020,00:03:58
4-,3G,0001.01,0,07/11/2020,00:04:02
3-,3G,0000.00,0,07/11/2020,00:04:04
2-,3G,0003.29,0,07/11/2020,00:04:07
4-,3G,0003.35,0,07/11/2020,00:04:11
3-,3G,0002.38,0,07/11/2020,00:04:13
2-,3G,0000.00,0,07/11/2020,00:04:16
4-,3G,0000.00,0,07/11/2020,00:04:20
3-,3G,0003.29,0,07/11/2020,00:04:22
2-,3G,0000.00,0,07/11/2020,00:04:25
4-,3G,0000.00,0,07/11/2020,00:04:29
3-,3G,0000.00,0,07/11/2020,00:04:31
2-,3G,0003.29,0,07/11/2020,00:04:34
4-,3G,0001.13,0,07/11/2020,00:04:38
3-,3G,0000.00,0,07/11/2020,00:04:40
2-,3G,0003.48,0,07/11/2020,00:04:43
4-,3G,0003.35,0,07/11/2020,00:04:47
3-,3G,0002.40,0,07/11/2020,00:04:49
2-,3G,0000.00,0,07/11/2020,00:04:52
4-,3G,0000.00,0,07/11/2020,00:04:56
3-,3G,0003.29,0,07/11/2020,00:04:58
2-,3G,0000.00,0,07/11/2020,00:05:01
4-,3G,0000.00,0,07/11/2020,00:05:05
3-,3G,0000.00,0,07/11/2020,00:05:07
2-,3G,0003.29,0,07/11/2020,00:05:10
4-,3G,0001.16,0,07/11/2020,00:05:14
3-,3G,0000.00,0,07/11/2020,00:05:16
2-,3G,0003.35,0,07/11/2020,00:05:19
4-,3G,0003.26,0,07/11/2020,00:05:23
3-,3G,0002.47,0,07/11/2020,00:05:26
2-,3G,0000.00,0,07/11/2020,00:05:28
4-,3G,0000.00,0,07/11/2020,00:05:32
3-,3G,0003.29,0,07/11/2020,00:05:35
2-,3G,0000.00,0,07/11/2020,00:05:37
4-,3G,0000.00,0,07/11/2020,00:05:41
3-,3G,0000.00,0,07/11/2020,00:05:44
2-,3G,0003.29,0,07/11/2020,00:05:46
4-,3G,0001.37,0,07/11/2020,00:05:50
3-,3G,0000.00,0,07/11/2020,00:05:53
2-,3G,0003.24,0,07/11/2020,00:05:55
4-,3G,0003.29,0,07/11/2020,00:05:59
3-,3G,0002.47,0,07/11/2020,00:06:02
2-,3G,0000.00,0,07/11/2020,00:06:04
4-,3G,0000.00,0,07/11/2020,00:06:08
3-,3G,0003.33,0,07/11/2020,00:06:11
2-,3G,0000.00,0,07/11/2020,00:06:13
4-,3G,0000.00,0,07/11/2020,00:06:17
3-,3G,0000.00,0,07/11/2020,00:06:20
2-,3G,0003.29,0,07/11/2020,00:06:22
4-,3G,0001.29,0,07/11/2020,00:06:26
3-,3G,0000.00,0,07/11/2020,00:06:29
2-,3G,0003.26,0,07/11/2020,00:06:31
4-,3G,0003.26,0,07/11/2020,00:06:35
3-,3G,0002.40,0,07/11/2020,00:06:38
2-,3G,0000.00,0,07/11/2020,00:06:40
4-,3G,0000.00,0,07/11/2020,00:06:44
3-,3G,0003.31,0,07/11/2020,00:06:47
2-,3G,0000.00,0,07/11/2020,00:06:49
4-,3G,0000.00,0,07/11/2020,00:06:53
3-,3G,0000.00,0,07/11/2020,00:06:56
2-,3G,0003.31,0,07/11/2020,00:06:58
4-,3G,0001.41,0,07/11/2020,00:07:02
3-,3G,0000.00,0,07/11/2020,00:07:05
2-,3G,0003.29,0,07/11/2020,00:07:07
4-,3G,0003.29,0,07/11/2020,00:07:11
3-,3G,0002.43,0,07/11/2020,00:07:14
2-,3G,0000.00,0,07/11/2020,00:07:16
4-,3G,0000.00,0,07/11/2020,00:07:20
3-,3G,0003.35,0,07/11/2020,00:07:23
2-,3G,0000.00,0,07/11/2020,00:07:25
4-,3G,0000.00,0,07/11/2020,00:07:29
3-,3G,0000.00,0,07/11/2020,00:07:32
2-,3G,0003.33,0,07/11/2020,00:07:34
4-,3G,0001.54,0,07/11/2020,00:07:38
3-,3G,0000.00,0,07/11/2020,00:07:41
2-,3G,0003.24,0,07/11/2020,00:07:43
4-,3G,0003.29,0,07/11/2020,00:07:47
3-,3G,0002.43,0,07/11/2020,00:07:50
2-,3G,0000.00,0,07/11/2020,00:07:52
4-,3G,0000.00,0,07/11/2020,00:07:56
3-,3G,0003.31,0,07/11/2020,00:07:59
2-,3G,0000.00,0,07/11/2020,00:08:01
4-,3G,0000.00,0,07/11/2020,00:08:05
3-,3G,0000.00,0,07/11/2020,00:08:08
2-,3G,0003.33,0,07/11/2020,00:08:10
4-,3G,0001.76,0,07/11/2020,00:08:14
3-,3G,0000.00,0,07/11/2020,00:08:17
2-,3G,0003.26,0,07/11/2020,00:08:19
4-,3G,0003.26,0,07/11/2020,00:08:23
3-,3G,0002.47,0,07/11/2020,00:08:26
2-,3G,0000.00,0,07/11/2020,00:08:28
4-,3G,0000.00,0,07/11/2020,00:08:32
3-,3G,0003.29,0,07/11/2020,00:08:35
2-,3G,0000.00,0,07/11/2020,00:08:37
4-,3G,0000.00,0,07/11/2020,00:08:41
3-,3G,0000.00,0,07/11/2020,00:08:44
2-,3G,0003.29,0,07/11/2020,00:08:46
4-,3G,0001.91,0,07/11/2020,00:08:50
3-,3G,0000.00,0,07/11/2020,00:08:53
2-,3G,0003.26,0,07/11/2020,00:08:55
4-,3G,0003.24,0,07/11/2020,00:08:59
3-,3G,0002.43,0,07/11/2020,00:09:02
2-,3G,0000.00,0,07/11/2020,00:09:04
4-,3G,0000.00,0,07/11/2020,00:09:08
3-,3G,0003.33,0,07/11/2020,00:09:11
2-,3G,0000.00,0,07/11/2020,00:09:13
4-,3G,0000.00,0,07/11/2020,00:09:17
3-,3G,0000.00,0,07/11/2020,00:09:20
2-,3G,0003.29,0,07/11/2020,00:09:22
4-,3G,0001.87,0,07/11/2020,00:09:26
3-,3G,0000.00,0,07/11/2020,00:09:29
2-,3G,0003.29,0,07/11/2020,00:09:31
4-,3G,0003.29,0,07/11/2020,00:09:35
3-,3G,0002.40,0,07/11/2020,00:09:38
2-,3G,0000.00,0,07/11/2020,00:09:40
4-,3G,0000.00,0,07/11/2020,00:09:44
3-,3G,0003.33,0,07/11/2020,00:09:47
2-,3G,0000.00,0,07/11/2020,00:09:49
4-,3G,0000.00,0,07/11/2020,00:09:53
3-,3G,0000.00,0,07/11/2020,00:09:56
2-,3G,0003.29,0,07/11/2020,00:09:58
4-,3G,0001.89,0,07/11/2020,00:10:02
3-,3G,0000.00,0,07/11/2020,00:10:05
2-,3G,0003.29,0,07/11/2020,00:10:07
4-,3G,0003.24,0,07/11/2020,00:10:11
3-,3G,0002.38,0,07/11/2020,00:10:14
2-,3G,0000.00,0,07/11/2020,00:10:16
4-,3G,0000.00,0,07/11/2020,00:10:20
3-,3G,0003.31,0,07/11/2020,00:10:23
